variable,scenario,model,fname,fpath
pr,historical,NZESM_UM,pr_historical_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/pr/pr_historical_NZESM_UM_daily_NZ5km_bc.nc
pr,historical,NorESM2-MM_CCAM,pr_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/pr/pr_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
rsds,historical,ACCESS-CM2_CCAM,rsds_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/rsds/rsds_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
rsds,historical,AWI-CM-1-1-MR_CCAM,rsds_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/rsds/rsds_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
rsds,historical,CNRM-CM6-1_CCAM,rsds_historical_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/rsds/rsds_historical_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
rsds,historical,EC-Earth3_CCAM,rsds_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/rsds/rsds_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc
rsds,historical,GFDL-ESM4_CCAM,rsds_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/rsds/rsds_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
rsds,historical,NZESM_UM,rsds_historical_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/rsds/rsds_historical_NZESM_UM_daily_NZ5km_raw.nc
rsds,historical,NorESM2-MM_CCAM,rsds_historical_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/rsds/rsds_historical_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWind,historical,ACCESS-CM2_CCAM,sfcWind_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWind/sfcWind_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
sfcWind,historical,AWI-CM-1-1-MR_CCAM,sfcWind_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWind/sfcWind_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
sfcWind,historical,CNRM-CM6-1_CCAM,sfcWind_historical_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWind/sfcWind_historical_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
sfcWind,historical,EC-Earth3_CCAM,sfcWind_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWind/sfcWind_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc
sfcWind,historical,GFDL-ESM4_CCAM,sfcWind_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWind/sfcWind_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
sfcWind,historical,NZESM_UM,sfcWind_historical_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWind/sfcWind_historical_NZESM_UM_daily_NZ5km_raw.nc
sfcWind,historical,NorESM2-MM_CCAM,sfcWind_historical_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWind/sfcWind_historical_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWindmax,historical,ACCESS-CM2_CCAM,sfcWindmax_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWindmax/sfcWindmax_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
sfcWindmax,historical,AWI-CM-1-1-MR_CCAM,sfcWindmax_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWindmax/sfcWindmax_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
sfcWindmax,historical,CNRM-CM6-1_CCAM,sfcWindmax_historical_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWindmax/sfcWindmax_historical_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
sfcWindmax,historical,EC-Earth3_CCAM,sfcWindmax_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWindmax/sfcWindmax_historical_EC-Earth3_CCAM_daily_NZ5km_raw.nc
sfcWindmax,historical,GFDL-ESM4_CCAM,sfcWindmax_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWindmax/sfcWindmax_historical_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
sfcWindmax,historical,NZESM_UM,sfcWindmax_historical_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWindmax/sfcWindmax_historical_NZESM_UM_daily_NZ5km_raw.nc
sfcWindmax,historical,NorESM2-MM_CCAM,sfcWindmax_historical_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/sfcWindmax/sfcWindmax_historical_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
tas,historical,ACCESS-CM2_CCAM,tas_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tas/tas_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tas,historical,AWI-CM-1-1-MR_CCAM,tas_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tas/tas_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tas,historical,CNRM-CM6-1_CCAM,tas_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tas/tas_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tas,historical,EC-Earth3_CCAM,tas_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tas/tas_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tas,historical,GFDL-ESM4_CCAM,tas_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tas/tas_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
